"from","to","weights","type"
"Ashley","Guests",78,"hyperlink"
"Ashley","Laura",1952,"hyperlink"
"Ashley","Liam",1071,"hyperlink"
"Ashley","Marisha",1235,"hyperlink"
"Ashley","Orion",263,"hyperlink"
"Ashley","Sam",1703,"hyperlink"
"Ashley","Taliesin",898,"hyperlink"
"Ashley","Travis",1891,"hyperlink"
"Guests","Ashley",1,"hyperlink"
"Guests","Laura",1512,"hyperlink"
"Guests","Liam",775,"hyperlink"
"Guests","Marisha",1194,"hyperlink"
"Guests","Orion",172,"hyperlink"
"Guests","Sam",1432,"hyperlink"
"Guests","Taliesin",784,"hyperlink"
"Guests","Travis",854,"hyperlink"
"Laura","Ashley",1,"hyperlink"
"Laura","Guests",1,"hyperlink"
"Laura","Liam",9748,"hyperlink"
"Laura","Marisha",9155,"hyperlink"
"Laura","Orion",1151,"hyperlink"
"Laura","Sam",9819,"hyperlink"
"Laura","Taliesin",8845,"hyperlink"
"Laura","Travis",9623,"hyperlink"
"Liam","Ashley",1,"hyperlink"
"Liam","Guests",1,"hyperlink"
"Liam","Laura",1,"hyperlink"
"Liam","Marisha",5185,"hyperlink"
"Liam","Orion",776,"hyperlink"
"Liam","Sam",5113,"hyperlink"
"Liam","Taliesin",4950,"hyperlink"
"Liam","Travis",4620,"hyperlink"
"Marisha","Ashley",1,"hyperlink"
"Marisha","Guests",1,"hyperlink"
"Marisha","Laura",1,"hyperlink"
"Marisha","Liam",1,"hyperlink"
"Marisha","Orion",1232,"hyperlink"
"Marisha","Sam",6160,"hyperlink"
"Marisha","Taliesin",8605,"hyperlink"
"Marisha","Travis",5205,"hyperlink"
"Orion","Ashley",1,"hyperlink"
"Orion","Guests",1,"hyperlink"
"Orion","Laura",1,"hyperlink"
"Orion","Liam",1,"hyperlink"
"Orion","Marisha",1,"hyperlink"
"Orion","Sam",889,"hyperlink"
"Orion","Taliesin",506,"hyperlink"
"Orion","Travis",665,"hyperlink"
"Sam","Ashley",1,"hyperlink"
"Sam","Guests",1,"hyperlink"
"Sam","Laura",1,"hyperlink"
"Sam","Liam",1,"hyperlink"
"Sam","Marisha",1,"hyperlink"
"Sam","Orion",1,"hyperlink"
"Sam","Taliesin",6756,"hyperlink"
"Sam","Travis",6990,"hyperlink"
"Taliesin","Ashley",1,"hyperlink"
"Taliesin","Guests",1,"hyperlink"
"Taliesin","Laura",1,"hyperlink"
"Taliesin","Liam",1,"hyperlink"
"Taliesin","Marisha",1,"hyperlink"
"Taliesin","Orion",1,"hyperlink"
"Taliesin","Sam",1,"hyperlink"
"Taliesin","Travis",6122,"hyperlink"
"Travis","Ashley",1,"hyperlink"
"Travis","Guests",1,"hyperlink"
"Travis","Laura",1,"hyperlink"
"Travis","Liam",1,"hyperlink"
"Travis","Marisha",1,"hyperlink"
"Travis","Orion",1,"hyperlink"
"Travis","Sam",1,"hyperlink"
"Travis","Taliesin",1,"hyperlink"
