"Actor","miss_spelling","count"
"Ashley","amount miss spellings",10
"Ashley","types miss spellings",2
"Laura","amount miss spellings",5
"Laura","types miss spellings",2
"Marisha","amount miss spellings",29
"Marisha","types miss spellings",14
"Matt","amount miss spellings",17
"Matt","types miss spellings",3
"Orion","amount miss spellings",1
"Orion","types miss spellings",1
"Sam","amount miss spellings",1
"Sam","types miss spellings",1
"Taliesin","amount miss spellings",19
"Taliesin","types miss spellings",9
"Travis","amount miss spellings",29
"Travis","types miss spellings",7
"Liam","amount miss spellings",0
"Liam","types miss spellings",0
