"","arc","arc_no","episode","turn_number","segment","actor","text","start_turn","end_turn","time_in_sec","word_count","words_per_ms","encounter_count","rp_combat","actor_guest","vox_machina","guest","staff","matt"
"1","Daring_Deeds",7,90,1,"proglog","MATT","welcome to tonight's episode of critical role, where a bunch of us nerdy-ass voice actors sit around and play dungeons and dragons. nice try, motherfuckers.",0.689,3.548,2.859,28,0.00979363413781042,NA,NA,"MATT",0,0,0,1
"2","Daring_Deeds",7,90,2,"proglog","MATT","anyway, welcome to tonight's episode. before we get into it, we have some announcements to do really fast. first and foremost, getting to our fantastic sponsor for the evening. returning: the glorious loot crate! thank you so much, loot crate, for being fantastic and for being a sponsor for our show as long as you have! it's been awesome!",10.307,14.133,3.826,62,0.0162049137480397,NA,NA,"MATT",0,0,0,1
"3","Daring_Deeds",7,90,3,"proglog","SAM","hi, guys!",30.572,32.096,1.524,3,0.00196850393700788,NA,NA,"SAM",1,0,0,0
"4","Daring_Deeds",7,90,4,"proglog","MATT","hi, sam.",32.153,33.039,0.886000000000003,3,0.00338600451467268,NA,NA,"MATT",0,0,0,1
"5","Daring_Deeds",7,90,5,"proglog","SAM","oh, you didn't throw it to me yet, did you?",33.039,34.242,1.203,12,0.00997506234413969,NA,NA,"SAM",1,0,0,0
"6","Daring_Deeds",7,90,6,"proglog","MATT","no, but i can. hey, sam. why don't you tell us about our sponsor?",34.242,36.042,1.8,16,0.00888888888888887,NA,NA,"MATT",0,0,0,1
"7","Daring_Deeds",7,90,7,"proglog","SAM","hey, as i tell you guys hey, crew. by the way, as i tell you guys about loot crate, can you guys",36.042,41.283,5.241,22,0.00419767219996184,NA,NA,"SAM",1,0,0,0
"8","Daring_Deeds",7,90,8,"proglog","OFFSCREEN","NA get a camera up here? i'm going to show some close-up things. should have done that ahead of time. it's on its way. okay. loot crate, the theme this week is primal. brands include x-men, overwatch, predator, you can go to lootcrate.com/criticalrole and use the promo code criticalrole for 10% off. and that's some severe savings. just a few days left to catch this month's theme, so check it out. they're a great sponsor; we love them. they do so much for the show. we genuinely appreciate them. okay, that being said and this will tie into loot crate, i promise i was thinking a lot this week about fan art. are you on me? whatever. fan art.",36.042,41.283,5.241,129,0.0246136233543217,NA,NA,"OFFSCREEN",0,0,1,0
"9","Daring_Deeds",7,90,9,"proglog","MARISHA","where did that camera come from?",86.455,88.133,1.678,7,0.00417163289630513,NA,NA,"MARISHA",1,0,0,0
"10","Daring_Deeds",7,90,10,"proglog","SAM","they're fast. so, we have amazing fan artists on this show. we get hundreds of art pieces every week. we're floored by them constantly: legitimately amazing artists. talented, gifted. and i was like, ""why should they get all the fun?"" so i was like, ""i'm going to do my own fan art ""this week!"" because things people know about me, i'm a talented performer and all that stuff, but i'm also an emerging visual artist. and this is a chance to get my art out to the world. and so i'm going to present it right now. guys, this is art, so if you have any kind of a reaction that's real if you cry, if you clap, whatever. i'll take it.",88.133,93.862,5.729,131,0.0228661197416652,NA,NA,"SAM",1,0,0,0
